Start_Time,Weather_Condition,Road_Condition,Visibility,Severity,Latitude,Longitude
2022-05-01 8:00,Clear,Dry,10,2,33.548,-112.123
2022-05-01 17:45,Rain,Wet,6,3,33.678,-112.345
2022-05-02 22:30,Fog,Wet,3,4,33.555,-112.567
2022-05-02 14:10,Clear,Dry,10,1,33.444,-112.111
2022-05-03 7:30,Snow,Snow,2,4,33.222,-112.89
2022-05-03 18:00,Cloudy,Dry,8,2,33.333,-112.999
2022-05-03 12:15,Rain,Wet,5,3,33.777,-112.456
2022-05-04 9:00,Clear,Dry,10,1,33.888,-112.222
2022-05-04 22:20,Fog,Wet,3,3,33.111,-112.666
2022-05-05 6:40,Rain,Wet,5,2,33.222,-112.444
2022-05-05 17:00,Clear,Dry,10,1,33.333,-112.555
2022-05-06 20:45,Snow,Snow,2,4,33.444,-112.777
2022-05-06 14:15,Cloudy,Dry,8,2,33.555,-112.888
2022-05-07 10:30,Clear,Dry,10,1,33.666,-112.999
2022-05-07 19:55,Rain,Wet,6,3,33.777,-112.101
2022-05-08 21:10,Fog,Wet,3,4,33.888,-112.202
2022-05-08 11:30,Clear,Dry,10,1,33.999,-112.303
2022-05-09 16:00,Cloudy,Dry,9,2,33.888,-112.404
2022-05-09 23:00,Rain,Wet,4,3,33.777,-112.505
2022-05-10 7:20,Snow,Snow,2,4,33.666,-112.606
2022-05-10 13:30,Clear,Dry,10,1,33.555,-112.707
2022-05-11 9:15,Rain,Wet,5,3,33.444,-112.808
2022-05-11 20:45,Fog,Wet,2,4,33.333,-112.909
2022-05-12 6:30,Clear,Dry,10,1,33.222,-112.321
2022-05-12 17:50,Cloudy,Dry,9,2,33.111,-112.432
2022-05-13 10:40,Clear,Dry,10,1,33,-112.543
2022-05-13 21:15,Rain,Wet,5,3,32.999,-112.654
2022-05-14 12:00,Snow,Snow,2,4,32.888,-112.765
2022-05-14 8:30,Clear,Dry,10,1,32.777,-112.876
2022-05-15 19:20,Cloudy,Dry,8,2,32.666,-112.987
2022-05-15 22:45,Rain,Wet,4,3,32.555,-112.098
2022-05-16 11:15,Fog,Wet,3,4,32.444,-112.209
2022-05-16 16:00,Clear,Dry,10,1,32.333,-112.321
2022-05-17 13:40,Cloudy,Dry,9,2,32.222,-112.432
2022-05-17 21:00,Rain,Wet,5,3,32.111,-112.543
2022-05-18 7:30,Snow,Snow,2,4,32,-112.654
2022-05-18 10:50,Clear,Dry,10,1,31.999,-112.765
2022-05-19 14:15,Cloudy,Dry,8,2,31.888,-112.876
2022-05-19 23:20,Rain,Wet,5,3,31.777,-112.987
2022-05-20 6:00,Fog,Wet,3,4,31.666,-112.101
2022-05-20 18:30,Clear,Dry,10,1,31.555,-112.212